label,cfg_path,station_name,relay_model,voltage_kv,protection_type,zone_operated,trip_type,faulted_phases,fault_type,is_ground_fault,reclose_attempted,reclose_successful,reclose_time_ms,fault_count,fault_duration_ms,fault_inception_ms,di_dt_max,di_dt_phase,peak_fault_current_a,peak_fault_phase,i0_i1_ratio,thd_percent,inception_angle_degrees,voltage_sag_depth_pu,voltage_sag_phase,r_x_ratio,z_magnitude_ohms,z_angle_degrees,sampling_rate_hz,record_duration_ms,teleprotection_rx,comms_failure,scaling_ok,duration_ok
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2024\04. APRIL\23042024_GI PDLRU_JTLHUR 1_PETIR\April\20240423_015038_330_r065.cfg,GI PADALARANG,1,70.0,DISTANCE,Z2+Z3,single_pole,A,SLG,True,False,,,1,81.73203,2086.67,1503769.3860396952,A,4657.45849609375,A,1.0150821512415829,9.761533944033578,332.4133852457198,0.016028363096919806,C,0.40044054693878395,20.826391096631543,68.17683392301304,1199.0408,5003.166,False,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2024\04. APRIL\24042024_GI CGRLG_MJLYA 2_PETIR\April\20240423_015038_330_r065.cfg,GI PADALARANG,1,70.0,DISTANCE,Z2+Z3,single_pole,A,SLG,True,False,,,1,81.73203,2086.67,1503769.3860396952,A,4657.45849609375,A,1.0150821512415829,9.761533944033578,332.4133852457198,0.016028363096919806,C,0.40044054693878395,20.826391096631543,68.17683392301304,1199.0408,5003.166,False,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2024\04. APRIL\24042024_GI MJLYA_CGRLG 2_PETIR\20240424_140910_746_r245.cfg,MAJALAYA,1,39.22345886485223,DISTANCE,Z1,single_pole,A,SLG,True,True,True,1692.656,4,79.96803,691.39,285528.6484034365,A,861.878662109375,A,2.63736990286524,23.102372388447215,347.2143488193998,0.8454310051657276,A,0.6556934387150241,6.388554039668226,56.747407084302324,1200.4802,4018.1113,True,False,True,True
LAYANG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2024\06. JUNI\04062024_GI SMDNG_UBRNG 1_LAYANG-LAYANG\04062024\20240604_132402_186_r174.cfg,GI UJUNGBERUNG,1,40.068901157792546,DISTANCE,Z1,single_pole,C,SLG,True,True,True,2682.26,2,79.96797,1709.32,918599.8210211552,C,3118.78564453125,C,0.8173138175933694,24.51519005019306,350.62751156965453,0.9081579922373926,C,1.7548585623676356,1.201007933641455,29.676501337194157,1200.4802,5017.159,True,False,True,True
LAYANG,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2024\06. JUNI\04062024_GI UBRNG_SMDNG 1_LAYANG-LAYANG\04062024\20240604_132402_186_r174.cfg,GI UJUNGBERUNG,1,40.068901157792546,DISTANCE,Z1,single_pole,C,SLG,True,True,True,2682.26,2,79.96797,1709.32,918599.8210211552,C,3118.78564453125,C,0.8173138175933694,24.51519005019306,350.62751156965453,0.9081579922373926,C,1.7548585623676356,1.201007933641455,29.676501337194157,1200.4802,5017.159,True,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2025\02. FEBRUARI\ULTG BDBS\20250224_GI CIKALONG_BAY CIGERELENG#2_PETIR1.CFG,GI CIKALONG,1,39.99655098198557,DISTANCE,Z1,single_pole,A,SLG,True,False,,,1,81.53606,1703.94,390066.10539686464,A,2375.320068359375,A,1.2936650762867379,18.870757122808623,2.6740748558966128,0.5797280391393347,A,0.5781232844295496,12.569968647874132,59.96679323580709,1201.9231,5011.1597,False,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BANDUNG\2025\02. FEBRUARI\ULTG BDBS\20250224_GI CIKALONG_BAY CIGERELENG#2_PETIR2.CFG,GI CIKALONG,1,39.96276041333535,DISTANCE,Z1,single_pole,A,SLG,True,False,,,1,79.871895,1725.57,387576.336827029,A,2372.55810546875,A,1.307595923434666,22.52527569147199,357.83455328723267,0.4002236634706767,A,0.5850464474104828,12.697023473777202,59.670383212746884,1201.9231,5011.136,False,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BEKASI\2024\Apr 2024\20240401_Reclose Juishin - Cileungsi_Petir BFO\010424\FR000001.cfg,GI JUISHIN BAY CILEUNGSI   Folder   7SA522 V4.7 Var,000882,0.057888240615920496,DISTANCE,UNKNOWN,single_pole,C,SLG,True,True,,,1,97.99999,250.0,1896.1918645484511,C,9.133055686950684,C,0.9625458923137888,19.06978388394275,0.0,0.8537381153746414,C,0.3649560007243391,1.6268406791795382,69.95014248583487,999.99994,415.0,False,False,False,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BEKASI\2024\Apr 2024\20240401_Reclose Juishin - Cileungsi_Petir BFO\Reclose_Bay_Juishin_phasa_T_01042024\Reclose_Bay_Juishin_phasa_T_01042024.CFG,Reclose_bay_juishin_2024   Folder   7SA522 V4.7 Var,UNKNOWN,0.057738803921649685,DISTANCE,UNKNOWN,single_pole,C,SLG,True,True,,,1,111.999985,250.0,1147.210066665231,C,4.340188503265381,C,1.0824263634467128,7.377556362389656,0.0,0.4933676945066766,C,0.36772884272249184,11.276805310551971,69.8100691758444,999.99994,447.0,False,False,False,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BEKASI\2024\Feb 2024\01022024 Reclose Cibatu bay Cileungsi_PETIR\Bay_Cibatu_Reclose_Phasa_S_01022024\Cibatu_Reclose_PhS_01022024.CFG,Cibatu_Reclose_0102024   Folder   7SA522 V4.7 Var,UNKNOWN,0.05643789368129017,DISTANCE,UNKNOWN,single_pole,B,SLG,True,True,,,1,99.00001,250.0,1211.6778140928889,B,4.575027942657471,B,1.948944021091334,14.98636653066798,0.0,0.9239631155322872,B,3.1580422343645984,1.2841287570358266,17.57048860001595,999.99994,414.0,False,False,False,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BEKASI\2024\Feb 2024\25022024 Reclose Juishin - Cileungsi_PETIR\GI Cileungsi Reclose bay Juishin Phasa R 26 Feb 2024\reclose juishin phasa r\Reclose_Bay_Juishin_phasa_R_25022024.CFG,Reclose_Bay_Juishin02   Folder   7SA522 V4.7 Var,UNKNOWN,0.058506744166055134,DISTANCE,UNKNOWN,single_pole,A,SLG,True,True,,,1,118.000015,249.0,967.5046863567652,A,3.708914279937744,A,0.925460101596883,17.01718215441449,0.0,0.3775671184086735,A,0.45445309900548336,10.998957626499266,65.56043086189247,999.99994,447.0,False,False,False,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BOGOR\2025\02. FEBRUARI\20250225_GI CIBADAK BARU BAY PRATU#1_PETIR\GGN200225 OK.CFG,GI CBDRU,1,70.0,DISTANCE,Z1,three_pole,A+B+C,3PH,True,False,,,1,126.76811,4383.5,6866087.57488419,C,29667.4609375,B,1.09527324410539,20.19426781973173,337.462206407042,0.8744913120879679,C,4.069089269129538,127.16447152786478,-166.19288483795324,1199.0408,6504.3657,False,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BOGOR\2025\02. FEBRUARI\20250225_GI CIBADAK BARU BAY PRATU#1_PETIR\Tuesday 25 February 2025 19.21.25.000.CFG,GI CBDRU,1,8.255657117314273,DISTANCE,Z1,unknown,,UNKNOWN,False,True,False,,1,80.06394,1025.82,6006584.363177275,B,22888.693359375,B,0.051459277552272434,7.839898390548799,348.5553231325168,0.25603720185050605,B,0.9401503956839243,0.4864230792472829,46.76689531275022,1199.0408,6504.3657,True,False,True,True
PETIR,C:\Users\hafizna.fadhli\Downloads\36. DFR GANGGUAN UIT JBT\raw_data\UPT BOGOR\2025\02. FEBRUARI\20250225_GIS PRATU BAY CIBADAK BARU#1_PETIR\250225.CFG,AREVA,1,70.0,DISTANCE,Z2+Z3,three_pole,A+B+C,3PH,False,False,,,1,33.360004,5200.82,854586.3322567242,B,2850.89990234375,B,0.029826671001112373,38.65297040891175,34.061813627960895,0.05474998452532155,A,0.5550145690291196,13.256698977476892,60.96908715026068,1199.0408,6003.966,False,False,True,True
